nodenumber,    x-coordinate,    y-coordinate,        pressure,      x-velocity,      y-velocity
1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
2,5.00E-03,0.00E+00,1.20E-06,0.00E+00,0.00E+00
3,1.00E-02,0.00E+00,3.37E-06,0.00E+00,0.00E+00
4,1.50E-02,0.00E+00,1.41E-06,0.00E+00,0.00E+00
5,2.00E-02,0.00E+00,-8.89E-06,0.00E+00,0.00E+00
6,2.50E-02,0.00E+00,-2.85E-05,0.00E+00,0.00E+00
7,3.00E-02,0.00E+00,-5.79E-05,0.00E+00,0.00E+00
8,3.50E-02,0.00E+00,-9.66E-05,0.00E+00,0.00E+00
9,4.00E-02,0.00E+00,-1.44E-04,0.00E+00,0.00E+00
10,4.50E-02,0.00E+00,-1.99E-04,0.00E+00,0.00E+00
11,5.00E-02,0.00E+00,-2.61E-04,0.00E+00,0.00E+00
12,5.50E-02,0.00E+00,-3.29E-04,0.00E+00,0.00E+00
13,6.00E-02,0.00E+00,-4.02E-04,0.00E+00,0.00E+00
14,6.50E-02,0.00E+00,-4.80E-04,0.00E+00,0.00E+00
15,7.00E-02,0.00E+00,-5.61E-04,0.00E+00,0.00E+00
16,7.50E-02,0.00E+00,-6.44E-04,0.00E+00,0.00E+00
17,8.00E-02,0.00E+00,-7.30E-04,0.00E+00,0.00E+00
18,8.50E-02,0.00E+00,-8.18E-04,0.00E+00,0.00E+00
19,9.00E-02,0.00E+00,-9.06E-04,0.00E+00,0.00E+00
20,9.50E-02,0.00E+00,-9.94E-04,0.00E+00,0.00E+00
21,1.00E-01,0.00E+00,-1.08E-03,0.00E+00,0.00E+00
22,1.05E-01,0.00E+00,-1.17E-03,0.00E+00,0.00E+00
23,1.10E-01,0.00E+00,-1.26E-03,0.00E+00,0.00E+00
24,1.15E-01,0.00E+00,-1.35E-03,0.00E+00,0.00E+00
25,1.20E-01,0.00E+00,-1.43E-03,0.00E+00,0.00E+00
26,1.25E-01,0.00E+00,-1.51E-03,0.00E+00,0.00E+00
27,1.30E-01,0.00E+00,-1.59E-03,0.00E+00,0.00E+00
28,1.35E-01,0.00E+00,-1.67E-03,0.00E+00,0.00E+00
29,1.40E-01,0.00E+00,-1.75E-03,0.00E+00,0.00E+00
30,1.45E-01,0.00E+00,-1.82E-03,0.00E+00,0.00E+00
31,1.50E-01,0.00E+00,-1.89E-03,0.00E+00,0.00E+00
32,1.55E-01,0.00E+00,-1.96E-03,0.00E+00,0.00E+00
33,1.60E-01,0.00E+00,-2.02E-03,0.00E+00,0.00E+00
34,1.65E-01,0.00E+00,-2.08E-03,0.00E+00,0.00E+00
35,1.70E-01,0.00E+00,-2.14E-03,0.00E+00,0.00E+00
36,1.75E-01,0.00E+00,-2.19E-03,0.00E+00,0.00E+00
37,1.80E-01,0.00E+00,-2.24E-03,0.00E+00,0.00E+00
38,1.85E-01,0.00E+00,-2.29E-03,0.00E+00,0.00E+00
39,1.90E-01,0.00E+00,-2.33E-03,0.00E+00,0.00E+00
40,1.95E-01,0.00E+00,-2.37E-03,0.00E+00,0.00E+00
41,2.00E-01,0.00E+00,-2.41E-03,0.00E+00,0.00E+00
42,2.05E-01,0.00E+00,-2.44E-03,0.00E+00,0.00E+00
43,2.10E-01,0.00E+00,-2.46E-03,0.00E+00,0.00E+00
44,2.15E-01,0.00E+00,-2.49E-03,0.00E+00,0.00E+00
45,2.20E-01,0.00E+00,-2.51E-03,0.00E+00,0.00E+00
46,2.25E-01,0.00E+00,-2.52E-03,0.00E+00,0.00E+00
47,2.30E-01,0.00E+00,-2.53E-03,0.00E+00,0.00E+00
48,2.35E-01,0.00E+00,-2.54E-03,0.00E+00,0.00E+00
49,2.40E-01,0.00E+00,-2.55E-03,0.00E+00,0.00E+00
50,2.45E-01,0.00E+00,-2.55E-03,0.00E+00,0.00E+00
51,2.50E-01,0.00E+00,-2.54E-03,0.00E+00,0.00E+00
52,2.55E-01,0.00E+00,-2.53E-03,0.00E+00,0.00E+00
53,2.60E-01,0.00E+00,-2.51E-03,0.00E+00,0.00E+00
54,2.65E-01,0.00E+00,-2.49E-03,0.00E+00,0.00E+00
55,2.70E-01,0.00E+00,-2.47E-03,0.00E+00,0.00E+00
56,2.75E-01,0.00E+00,-2.45E-03,0.00E+00,0.00E+00
57,2.80E-01,0.00E+00,-2.42E-03,0.00E+00,0.00E+00
58,2.85E-01,0.00E+00,-2.38E-03,0.00E+00,0.00E+00
59,2.90E-01,0.00E+00,-2.34E-03,0.00E+00,0.00E+00
60,2.95E-01,0.00E+00,-2.30E-03,0.00E+00,0.00E+00
61,3.00E-01,0.00E+00,-2.25E-03,0.00E+00,0.00E+00
62,3.05E-01,0.00E+00,-2.20E-03,0.00E+00,0.00E+00
63,3.10E-01,0.00E+00,-2.15E-03,0.00E+00,0.00E+00
64,3.15E-01,0.00E+00,-2.09E-03,0.00E+00,0.00E+00
65,3.20E-01,0.00E+00,-2.03E-03,0.00E+00,0.00E+00
66,3.25E-01,0.00E+00,-1.96E-03,0.00E+00,0.00E+00
67,3.30E-01,0.00E+00,-1.89E-03,0.00E+00,0.00E+00
68,3.35E-01,0.00E+00,-1.81E-03,0.00E+00,0.00E+00
69,3.40E-01,0.00E+00,-1.73E-03,0.00E+00,0.00E+00
70,3.45E-01,0.00E+00,-1.65E-03,0.00E+00,0.00E+00
71,3.50E-01,0.00E+00,-1.56E-03,0.00E+00,0.00E+00
72,3.55E-01,0.00E+00,-1.47E-03,0.00E+00,0.00E+00
73,3.60E-01,0.00E+00,-1.38E-03,0.00E+00,0.00E+00
74,3.65E-01,0.00E+00,-1.28E-03,0.00E+00,0.00E+00
75,3.70E-01,0.00E+00,-1.17E-03,0.00E+00,0.00E+00
76,3.75E-01,0.00E+00,-1.07E-03,0.00E+00,0.00E+00
77,3.80E-01,0.00E+00,-9.56E-04,0.00E+00,0.00E+00
78,3.85E-01,0.00E+00,-8.42E-04,0.00E+00,0.00E+00
79,3.90E-01,0.00E+00,-7.24E-04,0.00E+00,0.00E+00
80,3.95E-01,0.00E+00,-6.02E-04,0.00E+00,0.00E+00
